delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.004094,6.316013200780013e-06,0.00022333086406289837,0.0003116186799501097,0.00022335576543219826,(0.00030185921125236437+0j)
244.98,0.00409,6.316013200780013e-06,0.0002233306909037447,0.00031276284890424666,0.00022335576543230928,(0.00030185921125269743+0j)
224.97,0.004089,6.316013200780013e-06,0.00022333101030369562,0.0003113878547643667,0.00022335576543131008,(0.0003018592112470353+0j)
204.95,0.004094,6.316013200780013e-06,0.00022333064409718606,0.0003114948249198779,0.00022335576541920865,(0.00030185921123282444+0j)
184.94,0.004097,6.316013200780013e-06,0.0002233309131932648,0.0003088939385615941,0.00022335576552079406,(0.00030185921140568617+0j)
164.93,0.004095,6.316013200780013e-06,0.000223330887895834,0.00031023037745714355,0.00022335576513954347,(0.0003018592091165173+0j)
144.91,0.00409,6.316013200780013e-06,0.0002233301424077183,0.00031287816646841105,0.00022335576497267695,(0.00030185912270019877+0j)
124.9,0.004088,6.316013175244883e-06,0.0002233287912113413,0.0003213123651631955,0.00022335558750996576,(0.00030186602138881913+0j)
104.88,0.004093,6.316047910348566e-06,0.00022336057210969873,0.00032449394821587596,0.00022335546316964994,(0.00030184140742350873+0j)
84.87,0.004097,6.315458138228536e-06,0.00022326706399655727,0.0003220760606454931,0.00022345548362712186,(0.00030172389736171645+0j)
64.86,0.004111,6.324011503022753e-06,0.0002238043354861885,0.00030859748769052064,0.00022295729876609105,(0.0003022947166974044+0j)
60.53,0.00409,6.349686795692477e-06,0.00022417970513677332,0.0003043615832784008,0.00022365654749423314,(0.0003020937273863211+0j)
56.21,0.004072,6.371766622215169e-06,0.00022424968763390396,0.0003027712704304353,0.00022463463357913493,(0.00030150419471353107+0j)
51.89,0.00407,6.3502330880371716e-06,0.00022357628308133926,0.0003011365485303674,0.00022485809454664274,(0.0003011732926955224+0j)
47.56,0.004075,6.257329695946723e-06,0.00022180934058224633,0.0002988681562857698,0.0002234296129083324,(0.0003018789542684752+0j)
43.24,0.004092,6.132913081602354e-06,0.00021972593402952434,0.00029800974949389936,0.00022081501864235076,(0.00030351589291144343+0j)
38.91,0.004127,6.089010514687132e-06,0.00021936000224165308,0.0003002946980925625,0.0002191168803864496,(0.0003045265417410681+0j)
34.59,0.004151,6.233895071594553e-06,0.00022241059272110064,0.0003049534620077621,0.00022063064001121013,(0.00030288240893927565+0j)
30.27,0.004132,6.556247927336223e-06,0.0002283494561194921,0.00030915800202002686,0.0002254518975265407,(0.0002984629449656051+0j)
25.94,0.004098,6.856451445269585e-06,0.00023364376721923819,0.00031101862004379033,0.00023051843533750116,(0.00029453322698191897+0j)
21.62,0.004102,6.840688120179905e-06,0.00023322902631717213,0.0003089433630324434,0.0002314632727032917,(0.0002959489398477455+0j)
17.3,0.004117,6.414480136940348e-06,0.0002252270193161543,0.00030260519309177614,0.00022639385321543415,(0.00030430252717372763+0j)
12.97,0.004062,5.83885652516436e-06,0.00021415085981313364,0.000293837253891982,0.00021804772441491593,(0.00031453703043082815+0j)
8.65,0.003951,5.523328187706511e-06,0.000207969889959303,0.0002878949063301883,0.00021227401037549054,(0.0003173118149129017+0j)
4.32,0.003929,5.708807647386571e-06,0.0002117013229079312,0.00029022904046704934,0.00021342981197325361,(0.0003071395006392086+0j)
0.0,0.004077,6.329159212392632e-06,0.0002237459248832785,0.0003014124028888343,0.00022088630627326022,(0.0002891332819834336+0j)
-4.32,0.004266,6.994260835613275e-06,0.00023621106377869072,0.000314418754579604,0.00022952537805376316,(0.0002769054758434697+0j)
-8.65,0.004306,7.211273183038713e-06,0.00024018758698929332,0.00031930763149568,0.00023378813451468972,(0.00028193821208766234+0j)
