delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.004094,6.316013200780013e-06,0.00022333086406289837,0.0002502070417358393,0.00022335576543219826,(0.000263361228260206+0j)
244.98,0.00409,6.316013200780013e-06,0.0002233306909037447,0.0002511305323499302,0.00022335576543230928,(0.0002633612282605391+0j)
224.97,0.004089,6.316013200780013e-06,0.00022333101030369562,0.0002523153964523184,0.00022335576543131008,(0.00026336122825487696+0j)
204.95,0.004094,6.316013200780013e-06,0.00022333064409718606,0.0002513048430349274,0.00022335576541920865,(0.0002633612282396669+0j)
184.94,0.004097,6.316013200780013e-06,0.0002233309131932648,0.0002477834187079031,0.00022335576552079406,(0.0002633612284228537+0j)
164.93,0.004095,6.316013200780013e-06,0.000223330887895834,0.0002458564849707745,0.00022335576513954347,(0.00026336122634085246+0j)
144.91,0.00409,6.316013200780013e-06,0.0002233301424077183,0.0002494241931221275,0.00022335576497267695,(0.0002633611685113335+0j)
124.9,0.004088,6.316013175244883e-06,0.0002233287912113413,0.00025670106973840756,0.00022335558750996576,(0.00026336624680434184+0j)
104.88,0.004093,6.316047910348566e-06,0.00022336057210969873,0.0002617246975685772,0.00022335546316964994,(0.00026336424953266047+0j)
84.87,0.004097,6.315458138228536e-06,0.00022326706399655727,0.00026271416068790465,0.00022345548362712186,(0.00026278294387505063+0j)
64.86,0.004111,6.324011503022753e-06,0.0002238043354861885,0.00026675993670643994,0.00022295729876609105,(0.0002656746045660574+0j)
60.53,0.00409,6.349686795692477e-06,0.00022417970513677332,0.0002667454021986204,0.00022365654749423314,(0.0002637066005314326+0j)
56.21,0.004072,6.371766622215169e-06,0.00022424968763390396,0.00026440463506061107,0.00022463463357913493,(0.00026024680720737603+0j)
51.89,0.00407,6.3502330880371716e-06,0.00022357628308133926,0.0002613359586464137,0.00022485809454664274,(0.0002579782599171354+0j)
47.56,0.004075,6.257329695946723e-06,0.00022180934058224633,0.0002595137091838673,0.0002234296129083324,(0.00025963751054258744+0j)
