delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.004094,6.316013200780013e-06,0.00022229436870546682,0.0003603174174741097,nan,(nan+nanj)
244.98,0.00409,6.316013200780013e-06,0.00022229377758076208,0.0003602035956709049,nan,(nan+nanj)
224.97,0.004089,6.316013200780013e-06,0.00022229514893756797,0.0003612824349806809,nan,(nan+nanj)
204.95,0.004094,6.316013200780013e-06,0.00022229333805601215,0.00036220833840772126,nan,(nan+nanj)
184.94,0.004097,6.316013200780013e-06,0.00022229492364378434,0.00036254208223263085,nan,(nan+nanj)
164.93,0.004095,6.316013200780013e-06,0.00022229436950427228,0.0003622022737493902,nan,(nan+nanj)
144.91,0.00409,6.316013200780013e-06,0.0002222933111480918,0.0003626070381397284,nan,(nan+nanj)
124.9,0.004088,6.316013200780013e-06,0.00022229679802854285,0.0003626158500060761,nan,(nan+nanj)
104.88,0.004093,6.316013200780013e-06,0.00022228933766377246,0.00036265061499385354,nan,(nan+nanj)
84.87,0.004097,6.316012998497378e-06,0.00022219055695016365,0.00036277020403352456,nan,(nan+nanj)
64.86,0.004111,6.316496353853118e-06,0.0002219938611636163,0.00036298208660201503,nan,(nan+nanj)
60.53,0.00409,6.31649580229432e-06,0.00022210845481607233,0.00036302437162660794,nan,(nan+nanj)
56.21,0.004072,6.315143720847516e-06,0.00022261722657201943,0.0003624844447143172,nan,(nan+nanj)
51.89,0.00407,6.312758461524126e-06,0.00022254134697918815,0.0003612184322359102,nan,(nan+nanj)
47.56,0.004075,6.311545344361846e-06,0.00022148723993276054,0.0003603766103651429,nan,(nan+nanj)
43.24,0.004092,6.309865872355935e-06,0.00022098406913639845,0.00036187878595905776,nan,(nan+nanj)
38.91,0.004127,6.300191860986182e-06,0.0002223490345426571,0.0003654701833301077,nan,(nan+nanj)
34.59,0.004151,6.292606143709634e-06,0.0002238914988075269,0.00036711564961100507,nan,(nan+nanj)
30.27,0.004132,6.3423407541396415e-06,0.0002238886090443204,0.0003644722268076883,nan,(nan+nanj)
25.94,0.004098,6.492661338453054e-06,0.00022449368500299105,0.0003616424729830925,nan,(nan+nanj)
21.62,0.004102,6.6262421312135444e-06,0.00022719208055688167,0.000363060278711802,nan,(nan+nanj)
17.3,0.004117,6.487781175179563e-06,0.00022698822019873166,0.00036521830981295356,nan,(nan+nanj)
12.97,0.004062,6.027785982132272e-06,0.00021880369795046484,0.00036153329562815806,nan,(nan+nanj)
8.65,0.003951,5.616494349824919e-06,0.00020838368298192744,0.0003541802321939125,nan,(nan+nanj)
4.32,0.003929,5.7000328416156876e-06,0.000208589665073311,0.00035320378785430595,nan,(nan+nanj)
0.0,0.004077,6.329775560365292e-06,0.00022274203278505045,0.0003628198354236334,nan,(nan+nanj)
-4.32,0.004266,7.001268627848667e-06,0.00023728728741700955,0.00037361469103591727,nan,(nan+nanj)
-8.65,0.004306,7.0964147075303075e-06,0.0002375949285730039,0.00037374488561203734,nan,(nan+nanj)
-12.97,0.004175,6.631099977449928e-06,0.00022656641866924954,0.0003652034105388058,nan,(nan+nanj)
-17.3,0.004029,6.155731723689328e-06,0.00021824455017471767,0.0003591523912331862,nan,(nan+nanj)
-21.62,0.004001,6.0221392285120245e-06,0.00021811543742211725,0.00035982484013530325,nan,(nan+nanj)
-25.94,0.004066,6.146171424581404e-06,0.00022053614890449325,0.00036259048407039085,nan,(nan+nanj)
-30.27,0.004118,6.291590294527083e-06,0.00022107052336195476,0.0003631481651938939,nan,(nan+nanj)
-34.59,0.004113,6.3420566306371384e-06,0.00022112616298863852,0.0003618655183629249,nan,(nan+nanj)
-38.91,0.004083,6.333094000443573e-06,0.00022244678834248965,0.0003610907761462112,nan,(nan+nanj)
-43.24,0.00407,6.3223742796658655e-06,0.0002236807980996458,0.00036215400802075415,nan,(nan+nanj)
-47.56,0.004081,6.320863417785816e-06,0.000223239251459173,0.0003641062754141666,nan,(nan+nanj)
-51.89,0.004097,6.319513118802078e-06,0.000222084343761364,0.00036479404642686397,nan,(nan+nanj)
-56.21,0.004103,6.31691904262599e-06,0.0002219299534095276,0.0003634552966460536,nan,(nan+nanj)
-60.53,0.004098,6.3155362304279095e-06,0.00022251246652305046,0.00036152415690748896,nan,(nan+nanj)
-64.86,0.00409,6.315534245571186e-06,0.0002226099070822274,0.00036106908696564854,nan,(nan+nanj)
-84.87,0.004093,6.316013403062648e-06,0.000222378699915593,0.0003631108704464925,nan,(nan+nanj)
-104.88,0.004094,6.316013200780013e-06,0.00022229494390269,0.00036280582605396905,nan,(nan+nanj)
-124.9,0.004093,6.316013200780013e-06,0.0002222954280085565,0.0003623379486291656,nan,(nan+nanj)
-144.91,0.004093,6.316013200780013e-06,0.00022229326898381974,0.00036227929705134887,nan,(nan+nanj)
-164.93,0.004094,6.316013200780013e-06,0.00022229450557342822,0.00036234780748034545,nan,(nan+nanj)
-184.94,0.004092,6.316013200780013e-06,0.00022229470365198178,0.0003627078268417794,nan,(nan+nanj)
-204.95,0.004095,6.316013200780013e-06,0.00022229355393565964,0.0003631590232932025,nan,(nan+nanj)
-224.97,0.004094,6.316013200780013e-06,0.00022229508569315826,0.00036377462688796935,nan,(nan+nanj)
-244.98,0.004094,6.316013200780013e-06,0.00022229373255633345,0.0003647462572033966,nan,(nan+nanj)
-264.99,0.004095,6.316013200780013e-06,0.0002222944957436246,0.0003647901065222392,nan,(nan+nanj)
