delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.04525,0,0.0001104365919277761,9.924206038325334e-05,0,0
244.98,0.0449,0,0.00011044367686363632,9.92547230628249e-05,0,0
224.97,0.04452,0,0.00011045283620814139,9.927125695141648e-05,0,0
204.95,0.04463,0,0.00011045952119193014,9.927982998214624e-05,0,0
184.94,0.0451,0,0.00011046852594109868,9.928066174424988e-05,0,0
164.93,0.04526,0,0.00011047741649705678,9.928248249646554e-05,0,0
144.91,0.04498,0,0.0001104843879363715,9.929320431167898e-05,0,0
124.9,0.04453,0,0.00011049568802934395,9.93119423083888e-05,0,0
104.88,0.04456,0,0.00011049640921378945,9.93163357031479e-05,0,0
84.87,0.04498,0,0.00011044220939948612,9.926209856248036e-05,0,0
64.86,0.04589,0,0.00011038734398571837,9.920774723837233e-05,0,0
63.3,0.04577,0,0.00011035515038404498,9.917158363392797e-05,0,0
61.73,0.04543,0,0.00011036017182008973,9.917077285082065e-05,0,0
60.17,0.04494,0,0.00011040449014509957,9.92083849147285e-05,0,0
58.61,0.04437,0,0.00011047900399363542,9.927673388698821e-05,0,0
57.04,0.04386,0,0.00011056433600431514,9.93583186628122e-05,0,0
55.48,0.04351,0,0.00011063192730098592,9.942666498463648e-05,0,0
53.92,0.04339,0,0.00011065412348121306,9.945574991265804e-05,0,0
52.36,0.04353,0,0.00011061025448455553,9.942560606268636e-05,0,0
50.79,0.04389,0,0.0001104942866686498,9.93295306058739e-05,0,0
49.23,0.0444,0,0.00011032354456763649,9.918194381841605e-05,0,0
47.67,0.04496,0,0.00011013394918757413,9.901453312621822e-05,0,0
46.1,0.04546,0,0.0001099750068154215,9.887148203580054e-05,0,0
44.54,0.04583,0,0.00010990059824111942,9.880115214033758e-05,0,0
42.98,0.04601,0,0.00010994688873755543,9.883609544358851e-05,0,0
41.42,0.04601,0,0.00011012335248328231,9.898493872273484e-05,0,0
39.85,0.04585,0,0.00011040683532659301,9.92270790439731e-05,0,0
38.29,0.04558,0,0.00011073708331943433,9.950922492141245e-05,0,0
36.73,0.04529,0,0.0001110427028626626,9.97684445007696e-05,0,0
35.16,0.04501,0,0.00011125748729834406,9.994711412153467e-05,0,0
33.6,0.0448,0,0.00011134059715400824,0.00010001114212820905,0,0
32.04,0.04469,0,0.00011130183331475862,9.997165225750226e-05,0,0
30.48,0.04468,0,0.00011119797333825066,9.988147805450875e-05,0,0
28.91,0.04476,0,0.00011112030546500673,9.982340865866135e-05,0,0
27.35,0.04493,0,0.00011116750104200879,9.988510852976251e-05,0,0
25.79,0.04515,0,0.00011140533243614303,0.00010012338235898532,0,0
24.22,0.04539,0,0.00011184080773041227,0.0001005412452503851,0,0
22.66,0.0456,0,0.00011239201708068691,0.00010106085277428178,0,0
21.1,0.04572,0,0.00011291172004079808,0.00010154652206251225,0,0
19.54,0.0457,0,0.00011320710958662161,0.00010182246045076226,0,0
17.97,0.04547,0,0.00011308651348285181,0.00010171527465396846,0,0
16.41,0.04504,0,0.00011241767740644004,0.00010110646600758333,0,0
14.85,0.04443,0,0.0001111688908086439,9.996925620481267e-05,0,0
13.28,0.0437,0,0.00010942048304363183,9.837836454540394e-05,0,0
11.72,0.04297,0,0.00010741232072275508,9.65528541561067e-05,0,0
10.16,0.04239,0,0.00010544562644398958,9.476662662100122e-05,0,0
8.6,0.04206,0,0.00010387316617599396,9.333951417689335e-05,0,0
7.03,0.04209,0,0.0001030203608513025,9.256562079862363e-05,0,0
5.47,0.04252,0,0.00010313356316360434,9.266649980177455e-05,0,0
3.91,0.04332,0,0.0001042886783354513,9.370865979674292e-05,0,0
2.34,0.04441,0,0.00010640525850391658,9.561699276006141e-05,0,0
0.78,0.04562,0,0.00010918209421084679,9.81176206483747e-05,0,0
0.0,0.04622,0,0.00011069839835842199,9.94817269676096e-05,0,0
-0.78,0.04678,0,0.0001122232714285687,0.00010085256773384454,0,0
-2.34,0.04773,0,0.00011506271233752141,0.00010340243443374142,0,0
-3.91,0.04831,0,0.00011727643546310951,0.00010538740133314572,0,0
-5.47,0.04844,0,0.0001185173428663866,0.00010649802468576386,0,0
-7.03,0.04813,0,0.00011866552632489036,0.00010662908010472538,0,0
-8.6,0.04743,0,0.00011777860075712354,0.00010583405475017571,0,0
-10.16,0.04648,0,0.00011611499167829553,0.00010434537309644831,0,0
-11.72,0.04542,0,0.00011403457472647371,0.00010248517802557977,0,0
-13.28,0.04441,0,0.00011193046090496317,0.00010060451610927057,0,0
-14.85,0.04356,0,0.00011013130049242204,9.899635114274385e-05,0,0
-16.41,0.04298,0,0.0001088810441755017,9.787791256310463e-05,0,0
-17.97,0.0427,0,0.00010823998069198204,9.730262642704268e-05,0,0
-19.54,0.04273,0,0.00010814626005473116,9.721529821293817e-05,0,0
-21.1,0.04303,0,0.00010844239660423582,9.747592374342862e-05,0,0
-22.66,0.04352,0,0.00010892926053651664,9.790761225658695e-05,0,0
-24.22,0.04414,0,0.00010942503334043785,9.834901666139206e-05,0,0
-25.79,0.0448,0,0.0001098038418503311,9.868846367011574e-05,0,0
-27.35,0.04541,0,0.00011000468649624562,9.887158998334034e-05,0,0
-28.91,0.04592,0,0.00011004277217641079,9.891139550766148e-05,0,0
-30.48,0.04627,0,0.00010997824262903855,9.886045628337836e-05,0,0
-32.04,0.04645,0,0.0001098938755409451,9.879108250954172e-05,0,0
-33.6,0.04643,0,0.00010986414486813256,9.876829110067042e-05,0,0
-35.16,0.04624,0,0.00010993590802188535,9.883271946120598e-05,0,0
-36.73,0.0459,0,0.0001101192474667334,9.899272021884897e-05,0,0
-38.29,0.04548,0,0.00011038334986024356,9.922101982262621e-05,0,0
-39.85,0.04504,0,0.00011067510871987096,9.947126718878874e-05,0,0
-41.42,0.04465,0,0.00011093361463043738,9.969085616423623e-05,0,0
-42.98,0.04438,0,0.00011110248072576656,9.983187393036719e-05,0,0
-44.54,0.04425,0,0.00011115406097506053,9.987174509606955e-05,0,0
-46.1,0.04427,0,0.00011108857386565862,9.981216839427542e-05,0,0
-47.67,0.04443,0,0.0001109327066813881,9.967739980820678e-05,0,0
-49.23,0.04468,0,0.00011073500921987556,9.950983371176392e-05,0,0
-50.79,0.04497,0,0.0001105460161693328,9.935263662153027e-05,0,0
-52.36,0.04523,0,0.0001104076715801039,9.924079724876744e-05,0,0
-53.92,0.04544,0,0.00011034565205536584,9.919462559648817e-05,0,0
-55.48,0.04554,0,0.00011035983325935472,9.921229863263381e-05,0,0
-57.04,0.04553,0,0.0001104309647629309,9.927586355207296e-05,0,0
-58.61,0.04541,0,0.00011052800939170826,9.935790065218608e-05,0,0
-60.17,0.04522,0,0.0001106157182853007,9.942824603825784e-05,0,0
-61.73,0.04499,0,0.00011066822458605241,9.946557587692251e-05,0,0
-63.3,0.04477,0,0.00011067256597097064,9.946017254558459e-05,0,0
-64.86,0.04461,0,0.00011063115301213067,9.941596745333126e-05,0,0
-84.87,0.04478,0,0.00011055384932290302,9.936166518775824e-05,0,0
-104.88,0.04466,0,0.00011050458001093943,9.931615755720546e-05,0,0
-124.9,0.04136,0,0.00011049519515238249,9.930745248687423e-05,0,0
-144.91,0.04022,0,0.00011048429255811065,9.929687434440115e-05,0,0
-164.93,0.03905,0,0.0001104772811619803,9.928994946595271e-05,0,0
-184.94,0.03877,0,0.00011046883811272057,9.928193848773859e-05,0,0
-204.95,0.03879,0,0.00011045954025323823,9.927269704357311e-05,0,0
-224.97,0.03828,0,0.0001104530909981083,9.926647887348317e-05,0,0
-244.98,0.0386,0,0.00011044386692882213,9.92574130741497e-05,0,0
-264.99,0.03786,0,0.00011043684339329118,9.92503573892245e-05,0,0
