delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.04525,0,0.0001104365919277761,0.0001399506952105556,0,0
244.98,0.0449,0,0.00011044367686363632,0.0001398565009790298,0,0
224.97,0.04452,0,0.00011045283620814139,0.00014040719370189692,0,0
204.95,0.04463,0,0.00011045952119193014,0.00014089537456352108,0,0
184.94,0.0451,0,0.00011046852594109868,0.00014107714835620566,0,0
164.93,0.04526,0,0.00011047741649705678,0.00014090029273106097,0,0
144.91,0.04498,0,0.0001104843879363715,0.00014107264066232084,0,0
124.9,0.04453,0,0.00011049568802934395,0.00014106617060838378,0,0
104.88,0.04456,0,0.00011049640921378945,0.00014107091338477762,0,0
84.87,0.04498,0,0.00011044220939948612,0.00014110571203107547,0,0
64.86,0.04589,0,0.00011038734398571837,0.00014127267344654637,0,0
63.3,0.04577,0,0.00011035515038404498,0.00014130065400208558,0,0
61.73,0.04543,0,0.00011036017182008973,0.00014130939251744135,0,0
60.17,0.04494,0,0.00011040449014509957,0.00014128539478819313,0,0
58.61,0.04437,0,0.00011047900399363542,0.00014121651949494662,0,0
57.04,0.04386,0,0.00011056433600431514,0.0001410952811591315,0,0
55.48,0.04351,0,0.00011063192730098592,0.00014092595838766098,0,0
53.92,0.04339,0,0.00011065412348121306,0.00014072160540912204,0,0
52.36,0.04353,0,0.00011061025448455553,0.00014050684961952609,0,0
50.79,0.04389,0,0.0001104942866686498,0.0001403151115583201,0,0
49.23,0.0444,0,0.00011032354456763649,0.00014019085175842605,0,0
47.67,0.04496,0,0.00011013394918757413,0.0001401766607245225,0,0
46.1,0.04546,0,0.0001099750068154215,0.0001403110280369102,0,0
44.54,0.04583,0,0.00010990059824111942,0.00014061009701715754,0,0
42.98,0.04601,0,0.00010994688873755543,0.00014105953364329515,0,0
41.42,0.04601,0,0.00011012335248328231,0.0001416039965598248,0,0
39.85,0.04585,0,0.00011040683532659301,0.00014215299758968403,0,0
38.29,0.04558,0,0.00011073708331943433,0.00014258289906909916,0,0
36.73,0.04529,0,0.0001110427028626626,0.00014278762944974766,0,0
35.16,0.04501,0,0.00011125748729834406,0.00014269603601158032,0,0
33.6,0.0448,0,0.00011134059715400824,0.00014230831623296414,0,0
32.04,0.04469,0,0.00011130183331475862,0.00014170475177210928,0,0
30.48,0.04468,0,0.00011119797333825066,0.00014103535380494137,0,0
28.91,0.04476,0,0.00011112030546500673,0.00014048471290195597,0,0
27.35,0.04493,0,0.00011116750104200879,0.00014023713846966768,0,0
25.79,0.04515,0,0.00011140533243614303,0.00014040257980896254,0,0
24.22,0.04539,0,0.00011184080773041227,0.00014099785681476185,0,0
22.66,0.0456,0,0.00011239201708068691,0.0001419069858441535,0,0
21.1,0.04572,0,0.00011291172004079808,0.00014291762390128415,0,0
19.54,0.0457,0,0.00011320710958662161,0.00014374999238353503,0,0
17.97,0.04547,0,0.00011308651348285181,0.00014412235513006078,0,0
16.41,0.04504,0,0.00011241767740644004,0.00014381447556532923,0,0
14.85,0.04443,0,0.0001111688908086439,0.00014274446202988678,0,0
13.28,0.0437,0,0.00010942048304363183,0.00014097673710777858,0,0
11.72,0.04297,0,0.00010741232072275508,0.00013877708798659683,0,0
10.16,0.04239,0,0.00010544562644398958,0.00013650614863025545,0,0
8.6,0.04206,0,0.00010387316617599396,0.00013459402800153342,0,0
7.03,0.04209,0,0.0001030203608513025,0.00013344226927114455,0,0
5.47,0.04252,0,0.00010313356316360434,0.0001333626952417788,0,0
3.91,0.04332,0,0.0001042886783354513,0.00013446181493681486,0,0
2.34,0.04441,0,0.00010640525850391658,0.00013665827624498306,0,0
0.78,0.04562,0,0.00010918209421084679,0.00013961409133300684,0,0
0.0,0.04622,0,0.00011069839835842199,0.0001412385136216887,0,0
-0.78,0.04678,0,0.0001122232714285687,0.00014287190677853,0,0
-2.34,0.04773,0,0.00011506271233752141,0.0001458923655883737,0,0
-3.91,0.04831,0,0.00011727643546310951,0.0001481847332146513,0,0
-5.47,0.04844,0,0.0001185173428663866,0.0001493585861392921,0,0
-7.03,0.04813,0,0.00011866552632489036,0.0001492905256956778,0,0
-8.6,0.04743,0,0.00011777860075712354,0.0001480725542970518,0,0
