time_SFA,rate_SFA,time_extended_1,rate_extended_1,time_extended_2,rate_extended_2,time_extended_3,rate_extended_3,time_extended_4,rate_extended_4
-166.0,4.25897523046524e-34,-166.0,4.260377313483318e-34,-166.0,4.2603604242622535e-34,-166.0,4.2603618864517435e-34,-166.0,4.260361886451743e-34
-165.75,2.615930073950242e-32,-165.75,2.616798329253169e-32,-165.75,2.6167808819306476e-32,-165.75,2.616781780029994e-32,-165.75,2.6167817800299937e-32
-165.5,6.372583447757521e-31,-165.5,6.374720596790899e-31,-165.5,6.374656073820716e-31,-165.5,6.374658261652694e-31,-165.5,6.374658261652691e-31
-165.25,8.556526079618296e-30,-165.25,8.55943165824551e-30,-165.25,8.559309013590113e-30,-165.25,8.55931195121178e-30,-165.25,8.559311951211777e-30
-165.0,7.568029049025141e-29,-165.0,7.570636517114172e-29,-165.0,7.570490483132901e-29,-165.0,7.570493081384792e-29,-165.0,7.570493081384791e-29
-164.75,4.909742442568442e-28,-164.75,4.911462105168087e-28,-164.75,4.911339292610252e-28,-164.75,4.9113409782212135e-28,-164.75,4.911340978221211e-28
-164.5,2.505374828195865e-27,-164.5,2.5062685653380927e-27,-164.5,2.5061896790650896e-27,-164.5,2.506190539209889e-27,-164.5,2.506190539209888e-27
-164.25,1.055060600428336e-26,-164.25,1.0554445931675315e-26,-164.25,1.055403749500211e-26,-164.25,1.0554041117235514e-26,-164.25,1.0554041117235513e-26
-164.0,3.795183227708042e-26,-164.0,3.796594753439813e-26,-164.0,3.7964175772814595e-26,-164.0,3.7964188802436333e-26,-164.0,3.796418880243632e-26
-163.75,1.1963334433674375e-25,-163.75,1.1967888087791494e-25,-163.75,1.1967225401744325e-25,-163.75,1.1967229508994922e-25,-163.75,1.1967229508994922e-25
-163.5,3.370065295140224e-25,-163.5,3.37137982504833e-25,-163.5,3.371161378889726e-25,-163.5,3.3711625358996812e-25,-163.5,3.37116253589968e-25
-163.25,8.61523519218176e-25,-163.25,8.618682797052148e-25,-163.25,8.618037220768666e-25,-163.25,8.618040178547697e-25,-163.25,8.618040178547695e-25
-163.0,2.0235326707687254e-24,-163.0,2.0243642067122026e-24,-163.0,2.02419080676454e-24,-163.0,2.0241915014826784e-24,-163.0,2.0241915014826777e-24
-162.75,4.41159812765958e-24,-162.75,4.413460995059437e-24,-162.75,4.413032960696792e-24,-162.75,4.4130344752837686e-24,-162.75,4.413034475283767e-24
-162.5,9.004727055229979e-24,-162.5,9.008635821266541e-24,-162.5,9.00765576258268e-24,-162.5,9.007658854078831e-24,-162.5,9.007658854078826e-24
-162.25,1.733779347644777e-23,-162.25,1.7345530347169165e-23,-162.25,1.734343243950945e-23,-162.25,1.7343438391906507e-23,-162.25,1.7343438391906495e-23
-162.0,3.1702236088839524e-23,-162.0,3.1716774340785824e-23,-162.0,3.171254695905129e-23,-162.0,3.171255784303605e-23,-162.0,3.171255784303606e-23
-161.75,5.539412639662521e-23,-161.75,5.542021172771264e-23,-161.75,5.541214284335435e-23,-161.75,5.541216186122129e-23,-161.75,5.54121618612213e-23
-161.5,9.304345006406047e-23,-161.5,9.308838599366776e-23,-161.5,9.307371161830554e-23,-161.5,9.307374356192189e-23,-161.5,9.307374356192189e-23
-161.25,1.5109203369690753e-22,-161.25,1.511667495696603e-22,-161.25,1.5114117503643263e-22,-161.25,1.511412269092884e-22,-161.25,1.5114122690928836e-22
-161.0,2.385269138856361e-22,-161.0,2.386474557396246e-22,-161.0,2.38604492641862e-22,-161.0,2.3860457453290033e-22,-161.0,2.3860457453290043e-22
-160.75,3.680070640592094e-22,-160.75,3.681967481774824e-22,-160.75,3.6812675508199773e-22,-160.75,3.6812688142626098e-22,-160.75,3.6812688142626107e-22
-160.5,5.575230815554368e-22,-160.5,5.578156884603122e-22,-160.5,5.577044109763456e-22,-160.5,5.577046023854049e-22,-160.5,5.57704602385405e-22
-160.25,8.326779332829756e-22,-160.25,8.331224821624214e-22,-160.25,8.329487543707755e-22,-160.25,8.329490402461617e-22,-160.25,8.329490402461615e-22
-160.0,1.2295543708467455e-21,-160.0,1.2302221670586628e-21,-160.0,1.2299542724641967e-21,-160.0,1.2299546945952544e-21,-160.0,1.2299546945952547e-21
-159.75,1.7979401295476042e-21,-159.75,1.798934866724337e-21,-159.75,1.7985248935754872e-21,-159.75,1.7985255108445393e-21,-159.75,1.798525510844538e-21
-159.5,2.6044405908341998e-21,-159.5,2.605912246659145e-21,-159.5,2.605287661961041e-21,-159.5,2.605288556117239e-21,-159.5,2.60528855611724e-21
-159.25,3.73477419350854e-21,-159.25,3.736937219562797e-21,-159.25,3.735988895582342e-21,-159.25,3.73599017780369e-21,-159.25,3.7359901778036875e-21
-159.0,5.294393165534687e-21,-159.0,5.297548997617276e-21,-159.0,5.29611511980199e-21,-159.0,5.296116937470565e-21,-159.0,5.296116937470565e-21
-158.75,7.406575566728166e-21,-158.75,7.411138783752113e-21,-158.75,7.4089844895271e-21,-158.75,7.408987032349192e-21,-158.75,7.408987032349192e-21
-158.5,1.0207338644553203e-20,-158.5,1.021386525847174e-20,-158.5,1.0210658490620728e-20,-158.5,1.0210661995000618e-20,-158.5,1.0210661995000613e-20
-158.25,1.3836913305425394e-20,-158.25,1.3846128811280748e-20,-158.25,1.3841413638352547e-20,-158.25,1.384141838883899e-20,-158.25,1.3841418388838988e-20
-158.0,1.8428005577170834e-20,-158.0,1.8440829703918332e-20,-158.0,1.8433999122003284e-20,-158.0,1.8434005448705618e-20,-158.0,1.8434005448705618e-20
-157.75,2.4091499932191623e-20,-157.75,2.4109064662074016e-20,-157.75,2.4099335478163703e-20,-157.75,2.4099343749259574e-20,-157.75,2.4099343749259574e-20
-157.5,3.0900456792532984e-20,-157.5,3.0924114220418323e-20,-157.5,3.091050689113266e-20,-157.5,3.0910517499881176e-20,-157.5,3.091051749988115e-20
-157.25,3.8873094941929347e-20,-157.25,3.8904411840812286e-20,-157.25,3.8885738070144915e-20,-157.25,3.888575141605711e-20,-157.25,3.888575141605709e-20
