delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.004094,6.316013200780013e-06,0.00022359263054738676,0.00019020298231264832,0.00022361759030031791,(0.00018881913364832137+0j)
244.98,0.00409,6.316013200780013e-06,0.00022359245694147933,0.0001902052779505503,0.00022361759030042894,(0.00018881913364865444+0j)
224.97,0.004089,6.316013200780013e-06,0.00022359277709449454,0.00019020459004637225,0.00022361759029931871,(0.0001888191336424372+0j)
204.95,0.004094,6.316013200780013e-06,0.00022359241007874342,0.0001902049608948353,0.00022361759028544093,(0.00018881913356572078+0j)
184.94,0.004097,6.316013200780013e-06,0.00022359267969984664,0.00019019987565405128,0.0002236175904017923,(0.00018881913421475716+0j)
164.93,0.004095,6.316013200780013e-06,0.00022359265448068655,0.0001901983143213215,0.0002236175899736903,(0.00018881913218804502+0j)
144.91,0.00409,6.316013200780013e-06,0.00022359190744591917,0.00019018413164795245,0.0002236175882065483,(0.0001888191012748841+0j)
124.9,0.004088,6.316013175244883e-06,0.0002235905548902961,0.00019018298068551598,0.00022361752823774061,(0.00018882164771760745+0j)
104.88,0.004093,6.316047910348566e-06,0.00022362238523399025,0.0001901961207274594,0.00022361817049421084,(0.00018882259598629325+0j)
84.87,0.004097,6.315458138228536e-06,0.0002235288432896887,0.00019003962034558342,0.00022367870265327383,(0.0001885045737434199+0j)
64.86,0.004111,6.324011503022753e-06,0.00022406664137919474,0.0001905445495067326,0.0002233765521770792,(0.00019007770958789916+0j)
60.53,0.00409,6.349686795692477e-06,0.00022444273690302996,0.00019075053802930508,0.00022389449211113188,(0.00018902039574208995+0j)
56.21,0.004072,6.371766622215169e-06,0.0002245129992549666,0.00019074797836315938,0.00022458841805195195,(0.00018715394364066107+0j)
51.89,0.00407,6.3502330880371716e-06,0.00022383876853970808,0.00019022133170520927,0.00022466753449801313,(0.0001858721885810155+0j)
47.56,0.004075,6.257329695946723e-06,0.00022206934642854392,0.00018887171550530102,0.0002234671326056814,(0.00018662241972311477+0j)
43.24,0.004092,6.132913081602354e-06,0.0002199828718417729,0.00018724443462991847,0.0002214081148047553,(0.00018946341577963377+0j)
38.91,0.004127,6.089010514687132e-06,0.00021961618710553132,0.0001869439964751196,0.00022019135236206466,(0.00019255136610707435+0j)
34.59,0.004151,6.233895071594553e-06,0.00022267069381720628,0.0001893988403959268,0.0002216199111230166,(0.00019331883686368734+0j)
30.27,0.004132,6.556247927336223e-06,0.00022861745752988938,0.00019425625899771592,0.00022568025209734888,(0.00019072618555815435+0j)
25.94,0.004098,6.856451445269585e-06,0.00023391906633307702,0.0001986205461316226,0.0002298043295927421,(0.00018645187003396568+0j)
21.62,0.004102,6.840688120179905e-06,0.00023350420612155975,0.0001982658428605344,0.00023041856281369455,(0.00018383039026459436+0j)
17.3,0.004117,6.414480136940348e-06,0.00022549185970055508,0.000191624004436175,0.00022603258116149494,(0.00018502131033593106+0j)
12.97,0.004062,5.83885652516436e-06,0.00021440105057590753,0.0001824564779325799,0.00021896845578073254,(0.0001890811314122498+0j)
8.65,0.003951,5.523328187706511e-06,0.00020821179660823752,0.00017738707141434773,0.0002140849948367718,(0.0001926178883937535+0j)
4.32,0.003929,5.708807647386571e-06,0.00021194797996648695,0.00018056748427031089,0.00021499831403781755,(0.00019275458593082107+0j)
0.0,0.004077,6.329159212392632e-06,0.00022400833871660808,0.00019060830406425477,0.00022123444486943367,(0.00018958757147968797+0j)
-4.32,0.004266,6.994260835613275e-06,0.00023648985474733486,0.00020087913447297545,0.00022862106013554762,(0.00018600920274858268+0j)
-8.65,0.004306,7.211273183038713e-06,0.00024047145279459947,0.00020401529917479788,0.00023254799415561855,(0.00018507173610582406+0j)
-12.97,0.004175,6.842763787373585e-06,0.00023374910833062756,0.00019833818947201376,0.00023119018765571653,(0.00018738426673825526+0j)
-17.3,0.004029,6.23632413720987e-06,0.00022243707145364056,0.0001890135300378626,0.0002262725746012828,(0.00019081356137218286+0j)
-21.62,0.004001,5.833504160390746e-06,0.00021460362585556947,0.00018269114042934742,0.00022118506175272667,(0.00019252957196813636+0j)
-25.94,0.004066,5.816452506746117e-06,0.0002140098636860266,0.00018235552652867693,0.0002184435603060919,(0.0001914162810768838+0j)
-30.27,0.004118,6.090032443561988e-06,0.00021906919686243143,0.00018655188739025164,0.00021860620410396603,(0.00018864642793225972+0j)
-34.59,0.004113,6.40532052886833e-06,0.00022500411706860568,0.0001913161200848279,0.00022072631093583706,(0.00018639214698046302+0j)
-38.91,0.004083,6.55328106113906e-06,0.0002279254588398727,0.00019357338233871868,0.00022340841734158623,(0.00018598228225263913+0j)
-43.24,0.00407,6.505099948816984e-06,0.00022740534004306312,0.00019310270496941673,0.00022550735866000426,(0.0001872111995336878+0j)
-47.56,0.004081,6.376655596884717e-06,0.0002253403482728178,0.00019148780465616522,0.00022634059051618305,(0.0001889265737438084+0j)
-51.89,0.004097,6.283442720578236e-06,0.00022351043752633082,0.0001901215447240867,0.0002258122155759379,(0.00019010351373316414+0j)
-56.21,0.004103,6.261348897917962e-06,0.0002226980662408673,0.00018953499119245265,0.00022442879573636443,(0.00019038045998087672+0j)
-60.53,0.004098,6.28264267787948e-06,0.0002227889387607096,0.00018955646074747534,0.00022305871282457534,(0.00018995835596635757+0j)
-64.86,0.00409,6.308236660368394e-06,0.00022317979261698984,0.00018975552759747938,0.00022241766435926458,(0.00018921801987092923+0j)
-84.87,0.004093,6.316580533849425e-06,0.0002236328630780271,0.00019024236649389792,0.00022390560141416493,(0.00018868458739651484+0j)
-104.88,0.004094,6.315978523296906e-06,0.0002235446567655508,0.00019011280113301332,0.0002236116658071996,(0.00018878093029173204+0j)
-124.9,0.004093,6.3160132263151425e-06,0.00022359586201636805,0.00019018231409329012,0.00022361591314634666,(0.00018883027059068969+0j)
-144.91,0.004093,6.316013200780013e-06,0.00022359272796435015,0.00019018455922337196,0.00022361760837608102,(0.0001888190102585785+0j)
-164.93,0.004094,6.316013200780013e-06,0.00022359273718752792,0.00019019953750032403,0.00022361758868250092,(0.00018881912467627604+0j)
-184.94,0.004092,6.316013200780013e-06,0.00022359264385962696,0.00019020008860171078,0.00022361759108813217,(0.00018881913865131938+0j)
-204.95,0.004095,6.316013200780013e-06,0.00022359241025504684,0.00019020494194588178,0.00022361759020872451,(0.0001888191330655653+0j)
-224.97,0.004094,6.316013200780013e-06,0.0002235928018415878,0.00019020598486119145,0.00022361759028965977,(0.00018881913358093083+0j)
-244.98,0.004094,6.316013200780013e-06,0.00022359242101210874,0.00019020422803028847,0.000223617590300762,(0.00018881913365109693+0j)
-264.99,0.004095,6.316013200780013e-06,0.00022359266479776707,0.00019020373070810503,0.00022361759030031791,(0.00018881913364832137+0j)
