delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.004094,6.316013200780013e-06,0.0002222871305901375,0.00018914180990514673,0.00022231179984788518,(0.0001723319922374289+0j)
244.98,0.00409,6.316013200780013e-06,0.00022228695920778474,0.00018563449678121735,0.0002223117998479962,(0.00017233199223765094+0j)
224.97,0.004089,6.316013200780013e-06,0.00022228727561124373,0.00018301832611111735,0.000222311799846997,(0.00017233199223276596+0j)
204.95,0.004094,6.316013200780013e-06,0.00022228691262538014,0.0001799620880256203,0.0002223117998350066,(0.00017233199222366213+0j)
184.94,0.004097,6.316013200780013e-06,0.0002222871796306869,0.00017625416865041377,0.0002223117999350377,(0.0001723319923305766+0j)
164.93,0.004095,6.316013200780013e-06,0.00022228715402405896,0.00017471623864095953,0.00022231179955856106,(0.00017233199013610978+0j)
144.91,0.00409,6.316013200780013e-06,0.00022228641469279609,0.00017800166679071694,0.0002223117994009094,(0.00017233195774157828+0j)
124.9,0.004088,6.316013175244883e-06,0.0002222850689176381,0.00018435500890734424,0.00022231162216157507,(0.00017233434579533302+0j)
104.88,0.004093,6.316047910348566e-06,0.00022231665280647572,0.00018768290986970193,0.00022231150085172402,(0.00017233639991753869+0j)
84.87,0.004097,6.315458138228536e-06,0.00022222328068521868,0.00018339628533636798,0.00022241106735221283,(0.00017200025377439587+0j)
64.86,0.004111,6.324011503022753e-06,0.0002227584511798053,0.00017652650963762007,0.00022191514247926758,(0.0001736694793044169+0j)
60.53,0.00409,6.349686795692477e-06,0.00022313093004222573,0.00017305502287023877,0.0002226111763158345,(0.0001725153694672743+0j)
56.21,0.004072,6.371766622215169e-06,0.00022319979870044637,0.00017131602944164825,0.00022358478351025557,(0.00017050910746474468+0j)
51.89,0.00407,6.3502330880371716e-06,0.00022252968755387403,0.0001710869358446665,0.00022380723044967965,(0.00016915269154982315+0j)
47.56,0.004075,6.257329695946723e-06,0.00022077262724617963,0.00017187866603907143,0.0002223853003782139,(0.00016998575211746303+0j)
43.24,0.004092,6.132913081602354e-06,0.00021870144708291406,0.00017283621774943914,0.00021978268568678683,(0.00017304808091378465+0j)
