delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.004094,6.316013200780013e-06,0.0002222871305901375,1.0249674138318454e-06,0.00022231179984788518,0j
244.98,0.00409,6.316013200780013e-06,0.00022228695920778474,4.913532959394118e-07,0.0002223117998479962,0j
224.97,0.004089,6.316013200780013e-06,0.00022228727561124373,2.065128795747384e-07,0.000222311799846997,0j
204.95,0.004094,6.316013200780013e-06,0.00022228691262538014,7.763401366212008e-08,0.0002223117998350066,0j
184.94,0.004097,6.316013200780013e-06,0.0002222871796306869,2.279780952907373e-08,0.0002223117999350377,0j
164.93,0.004095,6.316013200780013e-06,0.00022228715402405896,5.827330840091349e-09,0.00022231179955856106,0j
144.91,0.00409,6.316013200780013e-06,0.00022228641469279609,1.888555090090449e-09,0.0002223117994009094,0j
124.9,0.004088,6.316013175244883e-06,0.0002222850689176381,7.900934351212641e-10,0.00022231162216157507,0j
104.88,0.004093,6.316047910348566e-06,0.00022231665280647572,2.9773761234253016e-10,0.00022231150085172402,0j
84.87,0.004097,6.315458138228536e-06,0.00022222328068521868,7.080958042138263e-11,0.00022241106735221283,0j
64.86,0.004111,6.324011503022753e-06,0.0002227584511798053,8.615885782603527e-12,0.00022191514247926758,0j
60.53,0.00409,6.349686795692477e-06,0.00022313093004222573,4.867883873771461e-12,0.0002226111763158345,0j
56.21,0.004072,6.371766622215169e-06,0.00022319979870044637,4.1554537588694984e-12,0.00022358478351025557,0j
51.89,0.00407,6.3502330880371716e-06,0.00022252968755387403,4.048983370807946e-12,0.00022380723044967965,0j
47.56,0.004075,6.257329695946723e-06,0.00022077262724617963,4.0456527017340704e-12,0.0002223853003782139,0j
43.24,0.004092,6.132913081602354e-06,0.00021870144708291406,4.221956118044545e-12,0.00021978268568678683,0j
38.91,0.004127,6.089010514687132e-06,0.00021833851460528741,4.4011461142190456e-12,0.00021809233208580636,0j
34.59,0.004151,6.233895071594553e-06,0.00022137349404427464,4.497069383546659e-12,0.00021959917954794683,0j
30.27,0.004132,6.556247927336223e-06,0.00022728086635204203,4.4786396813378815e-12,0.00022439838946475277,0j
25.94,0.004098,6.856451445269585e-06,0.00023254609076128752,4.525824159884451e-12,0.0002294417458212905,0j
21.62,0.004102,6.840688120179905e-06,0.00023213182965808876,4.4300119128593e-12,0.00023038223504157074,0j
17.3,0.004117,6.414480136940348e-06,0.00022417103869964983,4.224287586396258e-12,0.0002253359579071912,0j
12.97,0.004062,5.83885652516436e-06,0.0002131532737883468,3.88233889481171e-12,0.0002170279582811574,0j
8.65,0.003951,5.523328187706511e-06,0.00020700532440831587,3.6387559632089506e-12,0.00021128063542519282,0j
