delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.004094,6.316013200780013e-06,0.0002222871305901375,0.00010322958909914082,0.00022231179984788518,(1.1391952212780332e-05+0j)
244.98,0.00409,6.316013200780013e-06,0.00022228695920778474,9.497546603076668e-05,0.0002223117998479962,(1.1391952212891354e-05+0j)
224.97,0.004089,6.316013200780013e-06,0.00022228727561124373,8.669273445349734e-05,0.000222311799846997,(1.1391952212780332e-05+0j)
204.95,0.004094,6.316013200780013e-06,0.00022228691262538014,7.69839511677306e-05,0.0002223117998350066,(1.139195220112299e-05+0j)
184.94,0.004097,6.316013200780013e-06,0.0002222871796306869,6.634894064883046e-05,0.0002223117999350377,(1.1391952289940832e-05+0j)
164.93,0.004095,6.316013200780013e-06,0.00022228715402405896,5.8229558573930085e-05,0.00022231179955856106,(1.1391952271622152e-05+0j)
144.91,0.00409,6.316013200780013e-06,0.00022228641469279609,5.623011636091135e-05,0.0002223117994009094,(1.1391950664130235e-05+0j)
124.9,0.004088,6.316013175244883e-06,0.0002222850689176381,5.764402012731207e-05,0.00022231162216157507,(1.1392030698886835e-05+0j)
104.88,0.004093,6.316047910348566e-06,0.00022231665280647572,5.255761044475893e-05,0.00022231150085172402,(1.139160560725827e-05+0j)
84.87,0.004097,6.315458138228536e-06,0.00022222328068521868,3.771896946624942e-05,0.00022241106735221283,(1.1394399574315983e-05+0j)
64.86,0.004111,6.324011503022753e-06,0.0002227584511798053,2.4961989046112798e-05,0.00022191514247926758,(1.1372626020800247e-05+0j)
60.53,0.00409,6.349686795692477e-06,0.00022313093004222573,2.341684457085602e-05,0.0002226111763158345,(1.1360664849968671e-05+0j)
56.21,0.004072,6.371766622215169e-06,0.00022319979870044637,2.3061430405535432e-05,0.00022358478351025557,(1.136031858195441e-05+0j)
51.89,0.00407,6.3502330880371716e-06,0.00022252968755387403,2.2831771369857812e-05,0.00022380723044967965,(1.1394802305608742e-05+0j)
47.56,0.004075,6.257329695946723e-06,0.00022077262724617963,2.2460514879529825e-05,0.0002223853003782139,(1.1474723883297955e-05+0j)
43.24,0.004092,6.132913081602354e-06,0.00021870144708291406,2.2237246141254552e-05,0.00021978268568678683,(1.1562859766556244e-05+0j)
38.91,0.004127,6.089010514687132e-06,0.00021833851460528741,2.2413589616299134e-05,0.00021809233208580636,(1.1571756783790299e-05+0j)
34.59,0.004151,6.233895071594553e-06,0.00022137349404427464,2.308044748777771e-05,0.00021959917954794683,(1.1424930303483016e-05+0j)
30.27,0.004132,6.556247927336223e-06,0.00022728086635204203,2.389835878713331e-05,0.00022439838946475277,(1.115335899770642e-05+0j)
25.94,0.004098,6.856451445269585e-06,0.00023254609076128752,2.438563356677026e-05,0.0002294417458212905,(1.0928340157811967e-05+0j)
21.62,0.004102,6.840688120179905e-06,0.00023213182965808876,2.396796938652912e-05,0.00023038223504157074,(1.0962641212475255e-05+0j)
17.3,0.004117,6.414480136940348e-06,0.00022417103869964983,2.279149116313217e-05,0.0002253359579071912,(1.132168451589699e-05+0j)
12.97,0.004062,5.83885652516436e-06,0.0002131532737883468,2.1513404449335916e-05,0.0002170279582811574,(1.1821284213620054e-05+0j)
8.65,0.003951,5.523328187706511e-06,0.00020700532440831587,2.0960863404306807e-05,0.00021128063542519282,(1.2121380270180282e-05+0j)
4.32,0.003929,5.708807647386571e-06,0.0002107178200366766,2.1507756827743307e-05,0.00021243118035219055,(1.1986902979654879e-05+0j)
0.0,0.004077,6.329159212392632e-06,0.00022269961233178925,2.2883614765545346e-05,0.00021985364016474662,(1.1482475287039051e-05+0j)
-4.32,0.004266,6.994260835613275e-06,0.00023509946982613883,2.4314747373743728e-05,0.00022845327945975047,(1.0933873168972319e-05+0j)
-8.65,0.004306,7.211273183038713e-06,0.00023905576259197758,2.4978316996215888e-05,0.00023269659287883382,(1.0682878700096765e-05+0j)
-12.97,0.004175,6.842763787373585e-06,0.00023237869951897583,2.457118623433452e-05,0.00023058851046220408,(1.0845757179578364e-05+0j)
-17.3,0.004029,6.23632413720987e-06,0.00022114099217329652,2.3405992680469723e-05,0.00022452415441098772,(1.1263223536062128e-05+0j)
-21.62,0.004001,5.833504160390746e-06,0.0002133578471733566,2.2156074228729672e-05,0.00021879202857866265,(1.1655880907568417e-05+0j)
-25.94,0.004066,5.816452506746117e-06,0.00021276639723222246,2.1541776309752514e-05,0.00021628700439280113,(1.1830876203600127e-05+0j)
-30.27,0.004118,6.090032443561988e-06,0.00021779095388418934,2.175527221659479e-05,0.00021722248100841668,(1.1765614451264561e-05+0j)
-34.59,0.004113,6.40532052886833e-06,0.00022368635197633768,2.256317079463166e-05,0.00021997244660310056,(1.1561419158145902e-05+0j)
-38.91,0.004083,6.55328106113906e-06,0.00022658947884246494,2.3316032454312463e-05,0.00022272677487478187,(1.134444554817815e-05+0j)
