delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.004094,6.316013200780013e-06,0.00022359263054738676,0.0002499341919058873,0.00022361759030031791,(0.0001891499009770703+0j)
244.98,0.00409,6.316013200780013e-06,0.00022359245694147933,0.0002499422978256005,0.00022361759030042894,(0.00018914990097751438+0j)
224.97,0.004089,6.316013200780013e-06,0.00022359277709449454,0.0002499464538484597,0.00022361759029931871,(0.0001891499009711861+0j)
204.95,0.004094,6.316013200780013e-06,0.00022359241007874342,0.0002499543778569091,0.00022361759028544093,(0.0001891499008944697+0j)
184.94,0.004097,6.316013200780013e-06,0.00022359267969984664,0.00024995404365024676,0.0002236175904017923,(0.00018914990154350608+0j)
164.93,0.004095,6.316013200780013e-06,0.00022359265448068655,0.00024996141692934515,0.0002236175899736903,(0.00018914989952956152+0j)
144.91,0.00409,6.316013200780013e-06,0.00022359190744591917,0.0002499506912159166,0.0002236175882065483,(0.0001891498660726576+0j)
124.9,0.004088,6.316013175244883e-06,0.0002235905548902961,0.0002499626671860211,0.00022361752823774061,(0.00018915264441488056+0j)
104.88,0.004093,6.316047910348566e-06,0.00022362238523399025,0.00024996986980352354,0.00022361817049421084,(0.00018915249801243483+0j)
84.87,0.004097,6.315458138228536e-06,0.0002235288432896887,0.0002498392391850901,0.00022367870265327383,(0.00018883435618788358+0j)
64.86,0.004111,6.324011503022753e-06,0.00022406664137919474,0.00025035899485792434,0.0002233765521770792,(0.00019040084580579375+0j)
60.53,0.00409,6.349686795692477e-06,0.00022444273690302996,0.0002506032995122087,0.00022389449211113188,(0.00018928636742643334+0j)
56.21,0.004072,6.371766622215169e-06,0.0002245129992549666,0.0002506012951405401,0.00022458841805195195,(0.00018735645515433053+0j)
51.89,0.00407,6.3502330880371716e-06,0.00022383876853970808,0.0002500124258139058,0.00022466753449801313,(0.0001861128655675781+0j)
47.56,0.004075,6.257329695946723e-06,0.00022206934642854392,0.00024856633299708,0.0002234671326056814,(0.00018709526564497647+0j)
43.24,0.004092,6.132913081602354e-06,0.0002199828718417729,0.00024688488095025996,0.0002214081148047553,(0.0001902796030682774+0j)
38.91,0.004127,6.089010514687132e-06,0.00021961618710553132,0.0002466366838687062,0.00022019135236206466,(0.0001935138054609542+0j)
34.59,0.004151,6.233895071594553e-06,0.00022267069381720628,0.00024923296817735974,0.0002216199111230166,(0.00019390102337846216+0j)
30.27,0.004132,6.556247927336223e-06,0.00022861745752988938,0.00025422747291015124,0.00022568025209734888,(0.00019042973751837167+0j)
25.94,0.004098,6.856451445269585e-06,0.00023391906633307702,0.00025864386967466846,0.0002298043295927421,(0.0001853388156671798+0j)
21.62,0.004102,6.840688120179905e-06,0.00023350420612155975,0.0002582499075685085,0.00023041856281369455,(0.00018273835484472478+0j)
17.3,0.004117,6.414480136940348e-06,0.00022549185970055508,0.00025151251342037106,0.00022603258116149494,(0.00018508280018947332+0j)
12.97,0.004062,5.83885652516436e-06,0.00021440105057590753,0.00024221017472336737,0.00021896845578073254,(0.00019082091450683958+0j)
8.65,0.003951,5.523328187706511e-06,0.00020821179660823752,0.000236960144697429,0.0002140849948367718,(0.0001953543325704521+0j)
4.32,0.003929,5.708807647386571e-06,0.00021194797996648695,0.00023994496496393403,0.00021499831403781755,(0.0001949561078780082+0j)
0.0,0.004077,6.329159212392632e-06,0.00022400833871660808,0.00024991917250760665,0.00022123444486943367,(0.000189972321589571+0j)
-4.32,0.004266,6.994260835613275e-06,0.00023648985474733486,0.0002604320043840813,0.00022862106013554762,(0.0001845089590707394+0j)
-8.65,0.004306,7.211273183038713e-06,0.00024047145279459947,0.000264107366176769,0.00023254799415561855,(0.0001828668050665172+0j)
-12.97,0.004175,6.842763787373585e-06,0.00023374910833062756,0.00025894446916019387,0.00023119018765571653,(0.00018602012591728556+0j)
-17.3,0.004029,6.23632413720987e-06,0.00022243707145364056,0.0002496860600678108,0.0002262725746012828,(0.00019115405332792434+0j)
-21.62,0.004001,5.833504160390746e-06,0.00021460362585556947,0.00024283003294600647,0.00022118506175272667,(0.00019433150241554564+0j)
-25.94,0.004066,5.816452506746117e-06,0.0002140098636860266,0.00024169175740651472,0.0002184435603060919,(0.00019370488297132393+0j)
-30.27,0.004118,6.090032443561988e-06,0.00021906919686243143,0.00024540894120861356,0.00021860620410396603,(0.00019039294678202534+0j)
-34.59,0.004113,6.40532052886833e-06,0.00022500411706860568,0.0002503758937638656,0.00022072631093583706,(0.00018701204655180437+0j)
-38.91,0.004083,6.55328106113906e-06,0.0002279254588398727,0.0002533330957915636,0.00022340841734158623,(0.00018547370554256037+0j)
-43.24,0.00407,6.505099948816984e-06,0.00022740534004306312,0.00025350201544493967,0.00022550735866000426,(0.00018606459349290727+0j)
-47.56,0.004081,6.376655596884717e-06,0.0002253403482728178,0.00025198905963741414,0.00022634059051618305,(0.00018790918051836414+0j)
-51.89,0.004097,6.283442720578236e-06,0.00022351043752633082,0.00025018284876165975,0.0002258122155759379,(0.00018991296523762635+0j)
-56.21,0.004103,6.261348897917962e-06,0.0002226980662408673,0.0002490520050867362,0.00022442879573636443,(0.00019125677829068266+0j)
-60.53,0.004098,6.28264267787948e-06,0.0002227889387607096,0.00024887708365195493,0.00022305871282457534,(0.0001915144440111094+0j)
-64.86,0.00409,6.308236660368394e-06,0.00022317979261698984,0.0002493181410421208,0.00022241766435926458,(0.0001906723530366028+0j)
-84.87,0.004093,6.316580533849425e-06,0.0002236328630780271,0.00024990793924595245,0.00022390560141416493,(0.00018870866242626239+0j)
-104.88,0.004094,6.315978523296906e-06,0.0002235446567655508,0.0002500757693525424,0.0002236116658071996,(0.00018907625234332315+0j)
-124.9,0.004093,6.3160132263151425e-06,0.00022359586201636805,0.00024991100831817104,0.00022361591314634666,(0.00018917361379189312+0j)
-144.91,0.004093,6.316013200780013e-06,0.00022359272796435015,0.0002500079109108988,0.00022361760837608102,(0.00018914958738003307+0j)
-164.93,0.004094,6.316013200780013e-06,0.00022359273718752792,0.0002498508368534713,0.00022361758868250092,(0.00018914989094842571+0j)
-184.94,0.004092,6.316013200780013e-06,0.00022359264385962696,0.0002503348870324107,0.00022361759108813217,(0.00018914990595986225+0j)
-204.95,0.004095,6.316013200780013e-06,0.00022359241025504684,0.0002493650041817119,0.00022361759020872451,(0.00018914990039531343+0j)
-224.97,0.004094,6.316013200780013e-06,0.0002235928018415878,0.0002505132282850653,0.00022361759028965977,(0.00018914990090979078+0j)
-244.98,0.004094,6.316013200780013e-06,0.00022359242101210874,0.00024956387677443903,0.000223617590300762,(0.00018914990097984585+0j)
-264.99,0.004095,6.316013200780013e-06,0.00022359266479776707,0.0002499860521266717,0.00022361759030031791,(0.0001891499009770703+0j)
